City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,62.64,54,17,15.59,PN,1692421195
1,east london,-33.0153,27.9116,54.54,71,75,9.22,ZA,1692421196
2,languyan,5.2618,120.0807,81.93,78,93,10.45,PH,1692421196
3,waitangi,-43.9535,-176.5597,50.83,86,27,13.24,NZ,1692421197
4,jamestown,42.097,-79.2353,60.71,72,100,10.36,US,1692421183
5,hasaki,35.7333,140.8333,96.31,67,0,7.25,JP,1692421198
6,hawaiian paradise park,19.5933,-154.9731,76.03,87,7,8.37,US,1692421198
7,arraial do cabo,-22.9661,-42.0278,70.36,90,0,16.84,BR,1692421199
8,zouerate,22.7187,-12.4521,87.12,44,63,8.52,MR,1692421199
9,margaret river,-33.95,115.0667,59.74,66,88,8.81,AU,1692421199
10,zwedru,6.0667,-8.1281,71.35,99,100,2.51,LR,1692421200
11,bilibino,68.0546,166.4372,46.33,57,99,11.25,RU,1692421200
12,grytviken,-54.2811,-36.5092,19.47,86,15,12.46,GS,1692421202
13,boden,65.8252,21.6886,57.2,83,62,2.26,SE,1692421203
14,longyearbyen,78.2186,15.6401,42.64,81,75,6.91,SJ,1692421205
15,nyurba,63.2842,118.3319,73.08,59,100,11.39,RU,1692421207
16,frontino,6.7801,-76.1288,63.19,98,100,1.77,CO,1692421208
17,ribeira grande,38.5167,-28.7,67.77,85,5,4.0,PT,1692421210
18,bria,6.5423,21.9863,69.94,96,98,2.89,CF,1692421210
19,krasnovishersk,60.4078,57.082,55.33,57,100,10.47,RU,1692421211
20,port-aux-francais,-49.35,70.2167,36.09,67,98,32.35,TF,1692421212
21,blackmans bay,-43.0167,147.3167,60.93,66,78,6.51,AU,1692421213
22,ushuaia,-54.8,-68.3,38.86,75,75,12.66,AR,1692421214
23,iqaluit,63.7506,-68.5145,42.53,100,100,3.44,CA,1692421214
24,colonia,50.9333,6.95,75.81,76,0,5.75,DE,1692420946
25,lihue,21.9789,-159.3672,78.37,77,25,8.12,US,1692421215
26,ho chi minh city,10.75,106.6667,87.82,79,75,6.91,VN,1692421003
27,envira,-7.3,-70.2167,79.95,67,63,3.31,BR,1692421216
28,bethel,41.3712,-73.414,67.5,73,0,6.91,US,1692421051
29,siem reap,13.5,104.0,89.35,54,75,5.3,KH,1692421218
30,atambua,-9.1061,124.8925,76.95,60,38,10.29,ID,1692421218
31,guane,22.2025,-84.0875,78.12,92,20,4.63,CU,1692421219
32,keflavik,64.0049,-22.5624,53.51,87,0,6.91,IS,1692421209
33,okoneshnikovo,54.8377,75.0834,73.87,66,85,8.16,RU,1692421220
34,thief river falls,48.1191,-96.1812,72.55,78,0,14.97,US,1692421176
35,jose pedro varela,-33.45,-54.5333,43.11,85,0,8.23,UY,1692421221
36,homeland park,34.4707,-82.6707,73.83,81,0,6.93,US,1692421221
37,labrador city,52.9463,-66.9114,60.71,82,100,2.3,CA,1692421207
38,jabat,7.75,168.9751,83.68,73,11,5.68,MH,1692421228
39,kalianget,-7.05,113.9333,88.48,51,26,16.82,ID,1692421229
40,thompson,55.7435,-97.8558,57.36,88,100,8.05,CA,1692421240
41,albany,42.6001,-73.9662,63.57,75,45,1.01,US,1692421201
42,chonchi,-42.6128,-73.8092,43.12,96,100,5.41,CL,1692421244
43,preobrazheniye,42.9019,133.9064,85.12,66,19,7.58,RU,1692421245
44,castillos,-34.1667,-53.8333,45.12,77,20,14.36,UY,1692421245
45,san andres,12.5847,-81.7006,82.42,89,20,5.75,CO,1692421246
46,fale old settlement,-9.3852,-171.2468,82.89,80,93,16.22,TK,1692421247
47,akcakale,36.7111,38.9475,92.46,20,0,11.39,TR,1692421251
48,san jose de feliciano,-30.3845,-58.7517,48.74,73,26,6.33,AR,1692421252
49,hadibu,12.65,54.0333,81.7,68,74,17.69,YE,1692421253
50,de aar,-30.6497,24.0123,46.29,35,100,5.55,ZA,1692421253
51,kapa'a,22.0752,-159.319,78.1,76,9,1.01,US,1692421254
52,isafjordur,66.0755,-23.124,49.68,85,100,6.78,IS,1692421255
53,pisco,-13.7,-76.2167,64.45,82,100,3.44,PE,1692421255
54,boguchar,49.9358,40.545,78.31,40,3,7.2,RU,1692421255
55,bredasdorp,-34.5322,20.0403,47.89,94,100,1.9,ZA,1692421256
56,lebu,-37.6167,-73.65,49.86,91,100,26.62,CL,1692421256
57,edinburgh of the seven seas,-37.0676,-12.3116,52.77,62,100,30.36,SH,1692421256
58,kantagi,43.5264,68.5775,85.57,21,1,10.89,KZ,1692421257
